Unité,Titre (AR),Titre (FR),Dial.,Pers.,Texte Arabe,Phonétique,Traduction
2,الأسرة,La Famille,2.1,علي,هَذَا وَالِدِي عَدْنَان وَهُوَ مُهَنْدِس,Hādhā wālidī ʿAdnān wa huwa muhandis,C'est mon père Adnan et il est ingénieur.
2,الأسرة,La Famille,2.1,عمار,وَمَنْ هَذِهِ ؟,Wa man hādhihi?,Et qui est celle-ci ?
2,الأسرة,La Famille,2.1,علي,هَذِهِ وَالِدَتِي سَعِيدَة وَهِيَ طَبِيبَة,Hādhihi wālidatī Saʿīdah wa hiya ṭabībah,C'est ma mère Saida et elle est médecin.
2,الأسرة,La Famille,2.1,عمار,وَمَنْ هَذَا ؟,Wa man hādhā?,Et qui est celui-ci ?
2,الأسرة,La Famille,2.1,علي,هَذَا أَخِي عِيسَى وَهُوَ طَالِب,Hādhā akhī ʿĪsā wa huwa ṭālib,C'est mon frère Issa et il est étudiant.
2,الأسرة,La Famille,2.1,عمار,وَمَنْ هَذِهِ ؟,Wa man hādhihi?,Et qui est celle-ci ?
2,الأسرة,La Famille,2.1,علي,هَذِهِ أُخْتِي عَبْلَة وَهِيَ مُعَلِّمَة,Hādhihi ukhtī ʿAblah wa hiya muʿallimah,C'est ma sœur Abla et elle est enseignante.
2,الأسرة,La Famille,2.1,علي,وَهَذَا جَدِّي . وَهَذِهِ جَدَّتِي,Wa hādhā jaddī. Wa hādhihi jaddatī,Et voici mon grand-père. Et voici ma grand-mère.
2,الأسرة,La Famille,2.1,عمار,مَا شَاءَ الله !,Mā shā'a llāh!,Masha'Allah !
2,الأسرة,La Famille,2.2,عمر,هَلْ هَذِهِ شَجَرَةٌ ؟,Hal hādhihi shajarah?,Est-ce un arbre ?
2,الأسرة,La Famille,2.2,عثمان,نَعَمْ، هَذِهِ أُسْرَةُ الرَّسُول ﷺ,"Naʿam, hādhihi usratu r-Rasūl","Oui, c'est la famille du Messager ﷺ."
2,الأسرة,La Famille,2.2,عمر,صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ,Ṣallā llāhu ʿalayhi wa sallam,Paix et salut sur lui.
2,الأسرة,La Famille,2.2,عثمان,هَذَا وَالِدُهُ عَبْدُ الله,Hādhā wāliduhu ʿAbdullāh,C'est son père Abdallah.
2,الأسرة,La Famille,2.2,عمر,وَهَذِهِ وَالِدَتُهُ آمِنَة,Wa hādhihi wālidatuhu Āminah,Et c'est sa mère Amina.
2,الأسرة,La Famille,2.2,عثمان,وَهَذَا جَدُّهُ عَبْدُ المُطَّلِب,Wa hādhā jadduhu ʿAbd al-Muṭṭalib,Et c'est son grand-père Abd al-Muttalib.
2,الأسرة,La Famille,2.2,عمر,وَهَذَا عَمُّهُ العَبَّاس,Wa hādhā ʿammuhu al-ʿAbbās,Et c'est son oncle Al-Abbas.
2,الأسرة,La Famille,2.2,عثمان,وَهَذَا عَمُّهُ حَمْزَة,Wa hādhā ʿammuhu Ḥamzah,Et c'est son oncle Hamza.
2,الأسرة,La Famille,2.2,عمر,وَهَذَا عَمُّهُ أَبُو طَالِب,Wa hādhā ʿammuhu Abū Ṭālib,Et c'est son oncle Abou Talib.
2,الأسرة,La Famille,2.2,عثمان,وَهَذِهِ عَمَّتُهُ صَفِيَّة,Wa hādhihi ʿammatuhu Ṣafiyyah,Et c'est sa tante Safiyyah.
2,الأسرة,La Famille,2.2,عمر,وَهَذَا ابْنُهُ القَاسِم,Wa hādhā ibnuhu al-Qāsim,Et c'est son fils Al-Qasim.
2,الأسرة,La Famille,2.2,عثمان,وَهَذَا ابْنُهُ عَبْدُ الله,Wa hādhā ibnuhu ʿAbdullāh,Et c'est son fils Abdallah.
2,الأسرة,La Famille,2.2,عمر,وَهَذَا ابْنُهُ إِبْرَاهِيم,Wa hādhā ibnuhu Ibrāhīm,Et c'est son fils Ibrahim.
2,الأسرة,La Famille,2.2,عثمان,وَهَذِهِ ابْنَتُهُ فَاطِمَة,Wa hādhihi ibnatuhu Fāṭimah,Et c'est sa fille Fatima.
2,الأسرة,La Famille,2.2,عمر,وَهَذِهِ ابْنَتُهُ رُقَيَّة,Wa hādhihi ibnatuhu Ruqayyah,Et c'est sa fille Ruqayyah.
2,الأسرة,La Famille,2.2,عثمان,وَهَذِهِ ابْنَتُهُ زَيْنَب,Wa hādhihi ibnatuhu Zaynab,Et c'est sa fille Zaynab.
2,الأسرة,La Famille,2.2,عمر,وَهَذِهِ ابْنَتُهُ أُمُّ كُلْثُوم,Wa hādhihi ibnatuhu Umm Kulthūm,Et c'est sa fille Oum Kalthoum.
2,الأسرة,La Famille,2.3,الأم,هَذَا أَذَانُ الفَجْر,Hādhā adhānu l-fajr,C'est l'appel à la prière de l'aube.
2,الأسرة,La Famille,2.3,الأب,اللهُ أَكْبَرُ . اللهُ أَكْبَرُ,"Allāhu akbar, Allāhu akbar",Dieu est le plus Grand.
2,الأسرة,La Famille,2.3,الأب,أَيْنَ الأَوْلادُ ؟,Ayna l-awlād?,Où sont les enfants ?
2,الأسرة,La Famille,2.3,الأم,سَعْدٌ فِي الحَمَّامِ يَتَوَضَّأُ,Saʿd fī l-ḥammām yatawaḍḍa',"Saad est dans la salle de bain, il fait ses ablutions."
2,الأسرة,La Famille,2.3,الأب,وَأَيْنَ سَعِيدٌ ؟,Wa ayna Saʿīd?,Et où est Said ?
2,الأسرة,La Famille,2.3,الأم,سَعِيدٌ فِي الغُرْفَةِ يَقْرَأُ القُرْآنَ,Saʿīd fī l-ghurfah yaqra'u l-Qur'ān,"Said est dans la chambre, il lit le Coran."
2,الأسرة,La Famille,2.3,الأب,وَأَيْنَ سَعِيدَةُ ؟,Wa ayna Saʿīdah?,Et où est Saida ?
2,الأسرة,La Famille,2.3,الأم,سَعِيدَةُ فِي المُصَلَّى تُصَلِّي,Saʿīdah fī l-muṣallā tuṣallī,"Saida est dans le lieu de prière, elle prie."
2,الأسرة,La Famille,2.3,الأب,أَيْنَ المِعْطَفُ ؟,Ayna l-miʿṭaf?,Où est le manteau ?
2,الأسرة,La Famille,2.3,سعد,هَذَا هُوَ المِعْطَفُ يَا وَالِدِي,Hādhā huwa l-miʿṭaf yā wālidī,"Voici le manteau, ô mon père."
2,الأسرة,La Famille,2.3,الأب,وَأَيْنَ النَّظَّارَةُ ؟,Wa ayna n-naẓẓārah?,Et où sont les lunettes ?
2,الأسرة,La Famille,2.3,سعيد,هَذِهِ هِيَ النَّظَّارَةُ يَا وَالِدِي,Hādhihi hiya n-naẓẓārah yā wālidī,"Voici les lunettes, ô mon père."
2,الأسرة,La Famille,2.3,الأب,هَيَّا بِنَا إِلَى المَسْجِدِ,Hayyā binā ilā l-masjid,Allons à la mosquée.
2,الأسرة,La Famille,2.3,سعد وسعيد,هَيَّا بِنَا,Hayyā binā,Allons-y.
3,السكن,Le Logement,3.1,أحمد,السَّلامُ عَلَيْكُم,As-salāmu ʿalaykum,Que la paix soit sur vous.
3,السكن,Le Logement,3.1,حسان,وَعَلَيْكُمُ السَّلام,Wa ʿalaykumu s-salām,Et sur vous la paix.
3,السكن,Le Logement,3.1,أحمد,أَيْنَ تَسْكُنُ ؟,Ayna taskunu?,Où habites-tu ?
3,السكن,Le Logement,3.1,حسان,أَسْكُنُ فِي حَيِّ الْمَطَار. وَأَيْنَ تَسْكُنُ أَنْتَ ؟,Askunu fī ḥayyi l-maṭār. Wa ayna taskunu anta?,J'habite quartier de l'aéroport. Et où habites-tu toi ?
3,السكن,Le Logement,3.1,أحمد,أَسْكُنُ فِي حَيِّ الْجَامِعَة,Askunu fī ḥayyi l-jāmiʿah,J'habite dans le quartier de l'université.
3,السكن,Le Logement,3.1,حسان,هَلْ تَسْكُنُ فِي بَيْتٍ ؟,Hal taskunu fī bayt?,Habites-tu dans une maison ?
3,السكن,Le Logement,3.1,أحمد,نَعَمْ، أَسْكُنُ فِي بَيْتٍ,"Naʿam, askunu fī bayt","Oui, j'habite dans une maison."
3,السكن,Le Logement,3.1,أحمد,وَهَلْ تَسْكُنُ فِي بَيْتٍ ؟,Wa hal taskunu fī bayt?,Et habites-tu dans une maison ?
3,السكن,Le Logement,3.1,حسان,لا، أَسْكُنُ فِي شَقَّةٍ,"Lā, askunu fī shaqqah","Non, j'habite dans un appartement."
3,السكن,Le Logement,3.1,أحمد,مَا رَقْمُ شَقَّتِكَ ؟,Mā raqmu shaqqatika?,Quel est le numéro de ton appartement ?
3,السكن,Le Logement,3.1,حسان,خَمْسَة . وَمَا رَقْمُ بَيْتِكَ ؟,Khamsah. Wa mā raqmu baytika?,Cinq. Et quel est le numéro de ta maison ?
3,السكن,Le Logement,3.1,أحمد,تِسْعَة,Tisʿah,Neuf.
3,السكن,Le Logement,3.2,المستأجر,السَّلامُ عَلَيْكُم,As-salāmu ʿalaykum,Que la paix soit sur vous.
3,السكن,Le Logement,3.2,المؤجر,وَعَلَيْكُمُ السَّلام,Wa ʿalaykumu s-salām,Et sur vous la paix.
3,السكن,Le Logement,3.2,المستأجر,أُرِيدُ شَقَّةً مِنْ فَضْلِكَ,Urīdu shaqqatan min faḍlika,"Je voudrais un appartement, s'il vous plaît."
3,السكن,Le Logement,3.2,المؤجر,لَدَيْنَا شَقَّةٌ جَمِيلَة,Ladaynā shaqqatun jamīlah,Nous avons un bel appartement.
3,السكن,Le Logement,3.2,المستأجر,كَمْ غُرْفَةً فِي الشَّقَّةِ ؟,Kam ghurfatan fī sh-shaqqah?,Combien de pièces y a-t-il dans l'appartement ?
3,السكن,Le Logement,3.2,المؤجر,فِي الشَّقَّةِ خَمْسُ غُرَفٍ,Fī sh-shaqqati khamsu ghuraf,"Dans l'appartement, il y a cinq pièces."
3,السكن,Le Logement,3.2,المستأجر,فِي أَيِّ دَوْرٍ الشَّقَّةُ ؟,Fī ayyi dawrin ash-shaqqah?,À quel étage est l'appartement ?
3,السكن,Le Logement,3.2,المؤجر,الشَّقَّةُ فِي الدَّوْرِ الْخَامِس,Ash-shaqqatu fī d-dawri l-khāmis,L'appartement est au cinquième étage.
3,السكن,Le Logement,3.2,المستأجر,أُرِيدُ مُشَاهَدَةَ الشَّقَّةِ,Urīdu mushāhadata sh-shaqqah,Je voudrais voir l'appartement.
3,السكن,Le Logement,3.2,المؤجر,تَفَضَّلْ، ادْخُلْ، هَذَا بَابُ الشَّقَّةِ,"Tafaḍḍal, udkhul, hādhā bābu sh-shaqqah","Entrez, voici la porte de l'appartement."
3,السكن,Le Logement,3.2,المستأجر,هَذِهِ شَقَّةٌ جَمِيلَةٌ,Hādhihi shaqqatun jamīlah,C'est un bel appartement.
3,السكن,Le Logement,3.3,المشتري,السَّلامُ عَلَيْكُم,As-salāmu ʿalaykum,Que la paix soit sur vous.
3,السكن,Le Logement,3.3,البائع,وَعَلَيْكُمُ السَّلام. أَيَّ خِدْمَةٍ ؟,Wa ʿalaykumu s-salām. Ayya khidmah?,Et sur vous la paix. Puis-je vous aider ?
3,السكن,Le Logement,3.3,المشتري,أُرِيدُ بَعْضَ الأَثَاثِ,Urīdu baʿḍa l-athāth,Je voudrais quelques meubles.
3,السكن,Le Logement,3.3,البائع,مَاذَا تُرِيدُ لِغُرْفَةِ النَّوْمِ ؟,Mādhā turīdu li-ghurfati n-nawm?,Que voulez-vous pour la chambre à coucher ?
3,السكن,Le Logement,3.3,المشتري,أُرِيدُ سَرِيراً وَسِتَارَةً,Urīdu sarīran wa sitārah,Je veux un lit et un rideau.
3,السكن,Le Logement,3.3,البائع,وَمَاذَا تُرِيدُ لِغُرْفَةِ الْجُلُوسِ ؟,Wa mādhā turīdu li-ghurfati l-julūs?,Et que voulez-vous pour le salon ?
3,السكن,Le Logement,3.3,المشتري,أُرِيدُ أَرِيكَةً وَسَجَّادَةً,Urīdu arīkatan wa sajjādah,Je veux un canapé et un tapis.
3,السكن,Le Logement,3.3,البائع,وَمَاذَا تُرِيدُ لِلْمَطْبَخِ ؟,Wa mādhā turīdu li-l-maṭbakh?,Et que voulez-vous pour la cuisine ?
3,السكن,Le Logement,3.3,المشتري,أُرِيدُ فُرْناً وَثَلاجَةً,Urīdu furnan wa thallājah,Je veux un four et un frigo.
3,السكن,Le Logement,3.3,البائع,وَمَاذَا تُرِيدُ لِلْحَمَّامِ ؟,Wa mādhā turīdu li-l-ḥammām?,Et que voulez-vous pour la salle de bain ?
3,السكن,Le Logement,3.3,المشتري,أُرِيدُ سَخَّاناً وَمِرْآةً,Urīdu sakkhānan wa mir'āh,Je veux un chauffe-eau et un miroir.
3,السكن,Le Logement,3.3,البائع,هَلْ تُرِيدُ شَيْئاً آخَرَ ؟,Hal turīdu shay'an ākhar?,Voulez-vous autre chose ?
3,السكن,Le Logement,3.3,المشتري,شُكْراً، أُرِيدُ مُشَاهَدَةَ الأَثَاثِ,"Shukran, urīdu mushāhadata l-athāth","Merci, je voudrais voir les meubles."
3,السكن,Le Logement,3.3,البائع,تَفَضَّلْ,Tafaḍḍal,Allez-y (Je vous en prie).
4,الحياة اليومية,Vie Quotidienne,4.1,طارق,مَتَى تَسْتَيْقِظُ ؟,Matā tastayqiẓu?,Quand te réveilles-tu ?
4,الحياة اليومية,Vie Quotidienne,4.1,طاهر,أَسْتَيْقِظُ عِنْدَ الْفَجْرِ,Astayqiẓu ʿinda l-fajr,Je me réveille à l'aube.
4,الحياة اليومية,Vie Quotidienne,4.1,طارق,أَيْنَ تُصَلِّي الْفَجْرَ ؟,Ayna tuṣallī l-fajra?,Où pries-tu le Fajr ?
4,الحياة اليومية,Vie Quotidienne,4.1,طاهر,أُصَلِّي الْفَجْرَ فِي الْمَسْجِدِ,Uṣallī l-fajra fī l-masjid,Je prie le Fajr à la mosquée.
4,الحياة اليومية,Vie Quotidienne,4.1,طارق,هَلْ تَنَامُ بَعْدَ الصَّلاةِ ؟,Hal tanāmu baʿda ṣ-ṣalāh?,Dors-tu après la prière ?
4,الحياة اليومية,Vie Quotidienne,4.1,طاهر,لا، لا أَنَامُ بَعْدَ الصَّلاةِ,"Lā, lā anāmu baʿda ṣ-ṣalāh","Non, je ne dors pas après la prière."
4,الحياة اليومية,Vie Quotidienne,4.1,طارق,مَاذَا تَفْعَلُ بَعْدَ الصَّلاةِ ؟,Mādhā tafʿalu baʿda ṣ-ṣalāh?,Que fais-tu après la prière ?
4,الحياة اليومية,Vie Quotidienne,4.1,طاهر,أَقْرَأُ الْقُرْآنَ,Aqra'u l-Qur'ān,Je lis le Coran.
4,الحياة اليومية,Vie Quotidienne,4.1,طارق,وَمَتَى تَذْهَبُ إِلَى الْمَدْرَسَةِ ؟,Wa matā tadh-habu ilā l-madrasah?,Et quand vas-tu à l'école ?
4,الحياة اليومية,Vie Quotidienne,4.1,طاهر,أَذْهَبُ السَّاعَةَ السَّابِعَةَ,Adh-habu as-sāʿata s-sābiʿah,J'y vais à sept heures.
4,الحياة اليومية,Vie Quotidienne,4.1,طارق,هَلْ تَذْهَبُ بِالسَّيَّارَةِ ؟,Hal tadh-habu bi-s-sayyārah?,Y vas-tu en voiture ?
4,الحياة اليومية,Vie Quotidienne,4.1,طاهر,لا، أَذْهَبُ بِالْحَافِلَةِ,"Lā, adh-habu bi-l-ḥāfilah","Non, j'y vais en bus."
4,الحياة اليومية,Vie Quotidienne,4.2,الأم,هَذَا يَوْمُ الْعُطْلَةِ,Hādhā yawmu l-ʿuṭlah,C'est le jour de congé.
4,الحياة اليومية,Vie Quotidienne,4.2,الأب,هَذَا يَوْمُ الْعَمَلِ,Hādhā yawmu l-ʿamal,C'est un jour de travail.
4,الحياة اليومية,Vie Quotidienne,4.2,الأم,مَاذَا سَتَفْعَلُ يَا طَارِقُ ؟,Mādhā satafʿalu yā Ṭāriq?,"Que vas-tu faire, Tariq ?"
4,الحياة اليومية,Vie Quotidienne,4.2,طارق,سَأَكْنُسُ غُرْفَةَ الْجُلُوسِ,Sa-aknusu ghurfata l-julūs,Je vais balayer le salon.
4,الحياة اليومية,Vie Quotidienne,4.2,الأم,وَمَاذَا سَتَفْعَلِينَ يَا فَاطِمَةُ ؟,Wa mādhā satafʿalīna yā Fāṭimah?,"Et que vas-tu faire, Fatima ?"
4,الحياة اليومية,Vie Quotidienne,4.2,فاطمة,سَأَكْنُسُ غُرْفَةَ النَّوْمِ,Sa-aknusu ghurfata n-nawm,Je vais balayer la chambre.
4,الحياة اليومية,Vie Quotidienne,4.2,الأم,وَمَاذَا سَتَفْعَلُ يَا أَحْمَدُ ؟,Wa mādhā satafʿalu yā Aḥmad?,"Et que vas-tu faire, Ahmed ?"
4,الحياة اليومية,Vie Quotidienne,4.2,أحمد,سَأَغْسِلُ الْمَلابِسَ,Sa-aghsilu l-malābis,Je vais laver les vêtements.
4,الحياة اليومية,Vie Quotidienne,4.2,الأم,وَمَاذَا سَتَفْعَلِينَ يَا لَطِيفَةُ ؟,Wa mādhā satafʿalīna yā Laṭīfah?,"Et que vas-tu faire, Latifa ?"
4,الحياة اليومية,Vie Quotidienne,4.2,لطيفة,سَأَكْوِي الْمَلابِسَ,Sa-akwī l-malābis,Je vais repasser les vêtements.
4,الحياة اليومية,Vie Quotidienne,4.2,الجدة,أَنَا سَأَغْسِلُ الأَطْبَاقَ,Ana sa-aghsilu l-aṭbāq,"Moi, je vais laver la vaisselle."
4,الحياة اليومية,Vie Quotidienne,4.2,الجد,وَأَنَا سَأَقْرَأُ الْقُرْآنَ,Wa ana sa-aqra'u l-Qur'ān,"Et moi, je vais lire le Coran."
4,الحياة اليومية,Vie Quotidienne,4.3,عادل,مَتَى تَسْتَيْقِظُ يَوْمَ الْعُطْلَةِ ؟,Matā tastayqiẓu yawma l-ʿuṭlah?,Quand te réveilles-tu le jour de congé ?
4,الحياة اليومية,Vie Quotidienne,4.3,فيصل,أَسْتَيْقِظُ مُبَكِّراً,Astayqiẓu mubakkiran,Je me réveille tôt.
4,الحياة اليومية,Vie Quotidienne,4.3,فيصل,وَمَتَى تَسْتَيْقِظُ أَنْتَ ؟,Wa matā tastayqiẓu anta?,Et quand te réveilles-tu toi ?
4,الحياة اليومية,Vie Quotidienne,4.3,عادل,أَسْتَيْقِظُ مُتَأَخِّراً,Astayqiẓu muta'akhkhiran,Je me réveille tard.
4,الحياة اليومية,Vie Quotidienne,4.3,فيصل,مَاذَا تَفْعَلُ فِي الصَّبَاحِ ؟,Mādhā tafʿalu fī ṣ-ṣabāḥ?,Que fais-tu le matin ?
4,الحياة اليومية,Vie Quotidienne,4.3,عادل,أُشَاهِدُ التِّلْفَازَ. وَمَاذَا تَفْعَلُ أَنْتَ ؟,Ushāhidu t-tilfāz. Wa mādhā tafʿalu anta?,Je regarde la TV. Et que fais-tu toi ?
4,الحياة اليومية,Vie Quotidienne,4.3,فيصل,أَقْرَأُ صَحِيفَةً أَوْ كِتَاباً,Aqra'u ṣaḥīfatan aw kitāban,Je lis un journal ou un livre.
4,الحياة اليومية,Vie Quotidienne,4.3,عادل,أَيْنَ تُصَلِّي الْجُمُعَةَ ؟,Ayna tuṣallī l-Jumuʿah?,Où pries-tu le Vendredi ?
4,الحياة اليومية,Vie Quotidienne,4.3,فيصل,أُصَلِّي الْجُمُعَةَ فِي الْمَسْجِدِ الْكَبِيرِ,Uṣallī l-Jumuʿah fī l-masjidi l-kabīr,Je prie le Vendredi à la grande mosquée.
4,الحياة اليومية,Vie Quotidienne,4.3,عادل,وَأَيْنَ تُصَلِّي أَنْتَ ؟,Wa ayna tuṣallī anta?,Et où pries-tu toi ?
4,الحياة اليومية,Vie Quotidienne,4.3,عادل,أُصَلِّي فِي الْمَسْجِدِ الْكَبِيرِ أَيْضاً,Uṣallī fī l-masjidi l-kabīr ayḍan,Je prie à la grande mosquée aussi.
