Unité,Titre (AR),Titre (FR),Dial.,Pers.,Texte Arabe (Vocalisé),Phonétique,Traduction Française
14,الحج والعمرة,Hajj et Omra,14.2,الأب,خَلَعْتُ ثَوْبِي ، وَلَبِسْتُ مَلَابِسَ الإِحْرامِ وَلَبَّيْتُ بِالعُمْرَةِ,"Khalaʿtu thawbī, wa labistu malābisa l-iḥrām...","J'ai enlevé mon vêtement, j'ai mis les habits de l'Ihram et j'ai prononcé la Talbiya pour la Omra."
14,الحج والعمرة,Hajj et Omra,14.2,الابن,وَمَتى وَصَلْتَ إِلَى المَسْجِدِ الحَرَامِ ؟,Wa matā waṣalta ilā l-Masjidi l-Ḥarām?,Et quand es-tu arrivé à la Mosquée Sacrée ?
14,الحج والعمرة,Hajj et Omra,14.2,الأب,وَصَلْتُ بَعْدَ العَصْرِ,Waṣaltu baʿda l-ʿaṣr,Je suis arrivé après l'Asr.
14,الحج والعمرة,Hajj et Omra,14.2,الابن,بِمَ شَعَرْتَ فِي المَسْجِدِ الْحَرَامِ ؟,Bima shaʿarta fī l-Masjidi l-Ḥarām?,Qu'as-tu ressenti dans la Mosquée Sacrée ?
14,الحج والعمرة,Hajj et Omra,14.2,الأب,شَعَرْتُ بِالسُّرُورِ,Shaʿartu bi-s-surūr,J'ai ressenti de la joie.
14,الحج والعمرة,Hajj et Omra,14.2,الابن,كَمْ شَوْطاً طُفْتَ حَوْلَ الكَعْبَةِ ؟,Kam shawṭan ṭufta ḥawla l-Kaʿbah?,Combien de tours as-tu fait autour de la Kaaba ?
14,الحج والعمرة,Hajj et Omra,14.2,الأب,طُفْتُ سَبْعَةَ أَشْواطٍ، ثُمَّ صَلَّيْتُ رَكْعَتَينِ خَلْفَ مَقامِ إِبْراهيمَ,Ṭuftu sabʿata ashwāṭ...,"J'ai fait sept tours, puis j'ai prié deux unités derrière la station d'Ibrahim."
14,الحج والعمرة,Hajj et Omra,14.2,الابن,وماذا فَعَلْتَ بَعْدَ ذَلِكَ ؟,Wa mādhā faʿalta baʿda dhālik?,Et qu'as-tu fait après cela ?
14,الحج والعمرة,Hajj et Omra,14.2,الأب,سَعَيْتُ بَيْنَ الصَّفا والمَرْوَةِ سَبْعَةَ أَشْواطٍ ثُمَّ حَلَقْتُ رَأسي,Saʿaytu bayna ṣ-Ṣafā wa l-Marwah...,"J'ai fait le Sa'y entre Safa et Marwa sept fois, puis je me suis rasé la tête."
14,الحج والعمرة,Hajj et Omra,14.2,الابن,وَأَيْنَ خَلَعْتَ مَلَابِسَ الإِحْرَامِ ؟,Wa ayna khalaʿta malābisa l-iḥrām?,Et où as-tu enlevé les vêtements de l'Ihram ?
14,الحج والعمرة,Hajj et Omra,14.2,الأب,خَلَعْتُها فِي الفُنْدُقِ,Khalaʿtuhā fī l-funduq,Je les ai enlevés à l'hôtel.
14,الحج والعمرة,Hajj et Omra,14.3,الرجل,مَتى يَبْدَأُ الوُقوفُ بِعَرَفَةَ ؟,Matā yabda'u l-wuqūfu bi-ʿArafah?,Quand commence la station à Arafat ?
14,الحج والعمرة,Hajj et Omra,14.3,عدنان,يَبْدَأُ غَداً فِي اليَوْمِ النَّاسِعِ بَعْدَ الزَّوالِ,Yabda'u ghadan fī l-yawmi t-tāsiʿ baʿda z-zawāl,"Elle commence demain, le neuvième jour, après le zénith."
14,الحج والعمرة,Hajj et Omra,14.3,الرجل,ومَتى يَنْتَهي ؟,Wa matā yantahī?,Et quand finit-elle ?
14,الحج والعمرة,Hajj et Omra,14.3,عدنان,يَنْتَهِي عِنْدَ الفَجْرِ,Yantahī ʿinda l-fajr,Elle finit à l'aube.
14,الحج والعمرة,Hajj et Omra,14.3,الرجل,هَلْ نُصَلِّي الظُّهْرَ والعَصْرَ فِي عَرَفَاتِ ؟,Hal nuṣallī ẓ-Ẓuhr wa l-ʿAṣr fī ʿArafāt?,Prions-nous le Dhuhr et le Asr à Arafat ?
14,الحج والعمرة,Hajj et Omra,14.3,عدنان,نَعَمْ، جَمْعاً وقَصْراً وَقْتَ الظَّهْرِ,"Naʿam, jamʿan wa qaṣran waqta ẓ-Ẓuhr","Oui, groupées et raccourcies à l'heure du Dhuhr."
14,الحج والعمرة,Hajj et Omra,14.3,الرجل,ومَتى نَذْهَبُ إِلى مُزْدَلِفَةَ ؟,Wa matā nadh-habu ilā Muzdalifah?,Et quand allons-nous à Muzdalifa ?
14,الحج والعمرة,Hajj et Omra,14.3,عدنان,نَذْهَبُ بَعْدَ غُروبِ الشَّمْسِ,Nadh-habu baʿda ghurūbi sh-shams,Nous irons après le coucher du soleil.
14,الحج والعمرة,Hajj et Omra,14.3,عدنان,وَنُصَلِّي فيها المَغْرِبَ والعِشَاءَ جَمْعاً وقَصْراً,Wa nuṣallī fīhā l-Maghriba wa l-ʿIshā' jamʿan wa qaṣran,Et nous y prierons le Maghrib et l'Isha groupées et raccourcies.
14,الحج والعمرة,Hajj et Omra,14.3,الرجل,وماذا نَفْعَلُ بَعْدَ ذَلِكَ ؟,Wa mādhā nafʿalu baʿda dhālik?,Et que ferons-nous après cela ?
14,الحج والعمرة,Hajj et Omra,14.3,عدنان,نَذْهَبُ إِلى مِنى قَبْلَ شُروقِ الشَّمْسِ,Nadh-habu ilā Minā qabla shurūqi sh-shams,Nous irons à Mina avant le lever du soleil.
14,الحج والعمرة,Hajj et Omra,14.3,عدنان,وَنَرْمي الجَمْرَةَ الكُبرى، ثُمَّ نَذْبَحُ الهَدْيَ، وَنَحْلِقُ رُؤوسَنا,"Wa narmī l-jamrata l-kubrā, thumma nadhbaḥu...","Et nous jetterons (les pierres) à la grande Jamra, puis nous sacrifierons l'offrande, et nous nous raserons la tête."
14,الحج والعمرة,Hajj et Omra,14.3,الرجل,وماذا نَفْعَلُ بَعْدَ ذَلِكَ ؟,Wa mādhā nafʿalu baʿda dhālik?,Et que ferons-nous après cela ?
14,الحج والعمرة,Hajj et Omra,14.3,عدنان,نَذْهَبُ إِلى المَسْجِدِ الحرام لِطَوَافِ الإِفَاضَةِ وَسَعْيِ الْحَجِّ,...li-ṭawāfi l-ifāḍah wa saʿyi l-ḥajj,Nous irons à la Mosquée Sacrée pour le Tawaf al-Ifada et le Sa'y du Hajj.
14,الحج والعمرة,Hajj et Omra,14.3,الرجل,وَمَتى نَطُوفُ طَوافَ الوَداع ؟,Wa matā naṭūfu ṭawāfa l-wadāʿ?,Et quand ferons-nous le Tawaf d'adieu ?
14,الحج والعمرة,Hajj et Omra,14.3,عدنان,بَعْدَ رَمْيِ الجَمَرَاتِ فِي اليَوْمِ الثَّانِي عَشَرَ، أَوِ الثَّالِثَ عَشَرَ,Baʿda ramyi l-jamarāt...,Après le jet des Jamarat le douzième ou le treizième jour.
15,الصحة,La Santé,15.1,مسعود,السَّلامُ عَلَيْكُمْ وَرَحْمَةُ اللهِ وَبَرَكاتُهُ,As-salāmu ʿalaykum...,"Que la paix, la miséricorde d'Allah et Ses bénédictions soient sur vous."
15,الصحة,La Santé,15.1,محمود,وَعَلَيْكُمُ السَّلامُ وَرَحْمَةُ اللهِ وَبَرَكاتُهُ,Wa ʿalaykumu s-salām...,Et sur vous la paix...
15,الصحة,La Santé,15.1,مسعود,لماذا حَضَرْتَ اليَوْمَ إلى المُسْتَشْفَى ؟,Limādhā ḥaḍarta l-yawma ilā l-mustashfā?,Pourquoi es-tu venu aujourd'hui à l'hôpital ?
15,الصحة,La Santé,15.1,محمود,حَضَرْتُ لِزِيارَةِ طَبِيبِ الأَسْنان,Ḥaḍartu li-ziyārati ṭabībi l-asnān,Je suis venu voir le dentiste.
15,الصحة,La Santé,15.1,مسعود,بِمَ تَشْعُرُ ؟,Bima tashʿur?,Que ressens-tu ?
15,الصحة,La Santé,15.1,محمود,أَشْعُرُ بِأَلَم شَديد في أَسناني,Ashʿuru bi-alamin shadīd fī asnānī,Je ressens une forte douleur dans mes dents.
15,الصحة,La Santé,15.1,محمود,ولماذا حَضَرْتَ أَنْتَ إِلَى المُسْتَشْفَى ؟,Wa limādhā ḥaḍarta anta...,Et pourquoi es-tu venu à l'hôpital toi ?
15,الصحة,La Santé,15.1,مسعود,حَضَرْتُ لِزِيارَةِ طَبِيبِ الأَنْفِ وَالْأُذُنِ والحَنْجَرَة,...ṭabībi l-anfi wa l-udhuni wa l-ḥanjarah,"Je suis venu voir l'ORL (médecin du nez, de l'oreille et de la gorge)."
15,الصحة,La Santé,15.1,محمود,بِمَ تَشْعُرُ ؟,Bima tashʿur?,Que ressens-tu ?
15,الصحة,La Santé,15.1,مسعود,أَشْعُرُ بِأَلم شَدِيدٍ في أُذُني,Ashʿuru bi-alamin shadīd fī udhunī,Je ressens une forte douleur dans mon oreille.
15,الصحة,La Santé,15.1,محمود,هَلْ لَدَيْكَ مَوْعِدٌ مَعَ الطَّبِيبِ ؟,Hal ladayka mawʿidun maʿa ṭ-ṭabīb?,As-tu un rendez-vous avec le médecin ?
15,الصحة,La Santé,15.1,مسعود,نَعَمْ ، مَوْعِدِي السَّاعَةَ العَاشِرَةَ,"Naʿam, mawʿidī as-sāʿata l-ʿāshirah","Oui, mon rendez-vous est à dix heures."
15,الصحة,La Santé,15.1,محمود,مَوْعِدِي السَّاعَةَ العَاشِرَةَ أَيْضاً,Mawʿidī as-sāʿata l-ʿāshirata ayḍan,Mon rendez-vous est à dix heures aussi.
15,الصحة,La Santé,15.1,مسعود,السَّاعَةُ الْآنَ التَّاسِعَةُ وَالنِّصْفُ ، الباقي نِصْفُ سَاعَةٍ,...al-bāqī niṣfu sāʿah,"Il est neuf heures et demie maintenant, il reste une demi-heure."
15,الصحة,La Santé,15.2,المدرس,السَّلامُ عَلَيْكُمْ وَرَحْمَةُ اللهِ وَبَرَكاتُهُ,As-salāmu ʿalaykum...,Que la paix soit sur vous...
15,الصحة,La Santé,15.2,الطالب,وَعَلَيْكُمُ السَّلامُ وَرَحْمَةُ اللهِ وَبَرَكَاتُهُ,Wa ʿalaykumu s-salām...,Et sur vous la paix...
15,الصحة,La Santé,15.2,المدرس,لماذا تَغَيَّبْتَ عَنِ الدِّرَاسَةِ ؟,Limādhā taghayyabta ʿani d-dirāsah?,Pourquoi t'es-tu absenté des cours ?
15,الصحة,La Santé,15.2,الطالب,أُصِبْتُ بِزُكَامٍ شَدِيدٍ,Uṣibtu bi-zukāmin shadīd,J'ai attrapé un gros rhume.
15,الصحة,La Santé,15.2,المدرس,بِمَ شَعَرْتَ ؟,Bima shaʿarta?,Qu'as-tu ressenti ?
15,الصحة,La Santé,15.2,الطالب,شَعَرْتُ بِصُداع شَدِيدٍ فِي اللَّيلِ، وَارتَفَعَتْ درجة حرارتي,Shaʿartu bi-ṣudāʿin shadīd...,"J'ai ressenti un violent mal de tête la nuit, et ma température est montée."
15,الصحة,La Santé,15.2,المدرس,هل قَابَلْتَ الطَّبِيبَ ؟,Hal qābalta ṭ-ṭabīb?,As-tu vu le médecin ?
15,الصحة,La Santé,15.2,الطالب,نَعَمْ ، ذَهَبْتُ إلى المُسْتَشْفَى بالإسعاف ، وقابلت الطبيب,"Naʿam, dhahabtu ilā l-mustashfā bi-l-isʿāf...","Oui, je suis allé à l'hôpital en ambulance, et j'ai vu le médecin."
15,الصحة,La Santé,15.2,المدرس,وبِمَ نَصَحَكَ الطَّبِيبُ ؟,Wa bima naṣaḥaka ṭ-ṭabīb?,Et que t'a conseillé le médecin ?
15,الصحة,La Santé,15.2,الطالب,نَصَحَنِي بِالرَّاحَةِ وَتَنَاوُلِ الدَّواءِ، وَهَذَا هُوَ التقرير الطبي,Naṣaḥanī bi-r-rāḥati wa tanāwuli d-dawā'...,"Il m'a conseillé le repos et de prendre des médicaments, et voici le rapport médical."
15,الصحة,La Santé,15.2,المدرس,شُكْراً لَكَ . وَبِمَ تَشْعُرُ الآن ؟,Shukran lak. Wa bima tashʿuru l-ān?,Merci à toi. Et comment te sens-tu maintenant ?
15,الصحة,La Santé,15.2,الطالب,الحَمْدُ لله ، أنا بِخَيْرٍ,"Al-ḥamdu lillāh, ana bi-khayr","Louange à Dieu, je vais bien."
15,الصحة,La Santé,15.3,الزوجة,السَّلامُ عَلَيْكُم وَرَحْمَةُ اللهِ وَبَرَكاتُهُ,As-salāmu ʿalaykum...,Que la paix soit sur vous...
15,الصحة,La Santé,15.3,الزوج,وَعَلَيْكُمُ السَّلامُ وَرَحْمَةُ اللهِ وَبَرَكاتُهُ,Wa ʿalaykumu s-salām...,Et sur vous la paix...
15,الصحة,La Santé,15.3,الزوجة,خَيْراً ، هَلْ قَابَلْتَ الطَّبِيبَ ؟,"Khayran, hal qābalta ṭ-ṭabīb?","J'espère que c'est bon, as-tu vu le médecin ?"
15,الصحة,La Santé,15.3,الزوج,نَعَمْ ، وفَحَصَ الصَّدْرَ، والقَلْبَ، والكُلْيَةَ وقاس الضغط,"Naʿam, wa faḥaṣa ṣ-ṣadra wa l-qalba wa l-kulyah...","Oui, et il a examiné la poitrine, le cœur, le rein et a mesuré la tension."
15,الصحة,La Santé,15.3,الزوجة,وما النتيجة ؟,Wa mā n-natījah?,Et quel est le résultat ?
15,الصحة,La Santé,15.3,الزوج,القَلْبُ سَليم، والحَمْدُ للهِ,"Al-qalbu salīm, wa l-ḥamdu lillāh","Le cœur est sain, louange à Dieu."
15,الصحة,La Santé,15.3,الزوج,هُناكَ ارتفاع قَلِيلٌ في الضَّغْطِ والسُّكَّري,Hunāka irtifāʿun qalīl fī ḍ-ḍaghṭi wa s-sukkariyy,Il y a une légère augmentation de la tension et du diabète.
15,الصحة,La Santé,15.3,الزوجة,مَا سَبَبُ ذَلِكَ ؟,Mā sababu dhālik?,Quelle en est la cause ?
15,الصحة,La Santé,15.3,الزوج,زِيادَةُ الوَزْنِ,Ziyādatu l-wazn,L'augmentation du poids (surpoids).
15,الصحة,La Santé,15.3,الزوجة,وماذا طَلَبَ مِنْكَ الطَّبِيبُ ؟,Wa mādhā ṭalaba minka ṭ-ṭabīb?,Et que t'a demandé le médecin ?
15,الصحة,La Santé,15.3,الزوج,طَلَبَ مِنِّي تَرْكَ السُّكَرِيَّاتِ,Ṭalaba minnī tarka s-sukkariyyāt,Il m'a demandé d'arrêter les sucreries.
15,الصحة,La Santé,15.3,الزوجة,وَهَلْ طَلَبَ مِنْكَ شَيئًا آخَرَ ؟,Wa hal ṭalaba minka shay'an ākhar?,Et t'a-t-il demandé autre chose ?
15,الصحة,La Santé,15.3,الزوج,نَعَمْ ، مُمارَسَةَ الرياضةِ ، وتَناول الفاكهة والخضراوات,"Naʿam, mumārasata r-riyāḍah...","Oui, de faire du sport, et de manger des fruits et des légumes."
15,الصحة,La Santé,15.3,الزوجة,شَفَاكَ اللَّهُ,Shafāka llāh,Qu'Allah te guérisse.
15,الصحة,La Santé,15.3,الزوج,آمين ، شُكراً لكِ,"Āmīn, shukran laki","Amen, merci à toi."
16,العطلة,Les Vacances,16.1,الابن,كَمْ عِيداً في الإسلام يا أبي ؟,Kam ʿīdan fī l-islāmi yā abī?,Combien de fêtes y a-t-il en Islam mon père ?
16,العطلة,Les Vacances,16.1,الأب,في الإسلام عيدان : عيد الفِطْرِ ، وَعِيدُ الأضحى,Fī l-islāmi ʿīdān: ʿĪdu l-Fiṭr wa ʿĪdu l-Aḍḥā,En Islam il y a deux fêtes : l'Aïd al-Fitr et l'Aïd al-Adha.
16,العطلة,Les Vacances,16.1,الابن,مَتى عيدُ الفِطْرِ ؟,Matā ʿĪdu l-Fiṭr?,Quand est l'Aïd al-Fitr ?
16,العطلة,Les Vacances,16.1,الأب,بَعدَ شَهْرِ رَمَضَانَ : فِي اليَوْمِ الْأَوَّلِ مِنْ شَوَّالٍ,Baʿda shahri Ramaḍān: fī l-yawmi l-awwali min Shawwāl,Après le mois de Ramadan : le premier jour de Shawwal.
16,العطلة,Les Vacances,16.1,الابن,ماذا نَعْمَلُ فِي يَوْمِ العيد ؟,Mādhā naʿmalu fī yawmi l-ʿīd?,Que faisons-nous le jour de la fête ?
16,العطلة,Les Vacances,16.1,الأب,نُعْطِي زَكَاةَ الفِطْرِ لِلْفُقَرَاءِ,Nuʿṭī zakāta l-fiṭri lil-fuqarā',Nous donnons la Zakat al-Fitr aux pauvres.
16,العطلة,Les Vacances,16.1,الابن,وما زَكَاةُ الفِطْرِ ؟,Wa mā zakātu l-fiṭr?,Et qu'est-ce que la Zakat al-Fitr ?
